GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1308802494,20250613,202506,2025,2025.4466,,,,,,,,,,,CHN,LUOYANG,CHN,,,,,,,,1,042,042,04,1,1.9,5,1,5,3.94337714863498,0,,,,,,,,4,"Tianjin, Tianjin, China",CH,CH28,13279,39.1422,117.177,-1928564,4,"Tianjin, Tianjin, China",CH,CH28,13279,39.1422,117.177,-1928564,20260613003000,http://europe.chinadaily.com.cn/a/202606/13/WS6a2c91eba310986e2b45fb2c.html
1308802495,20250613,202506,2025,2025.4466,CAFGOV,FAUSTIN ARCHANGE TOUADERA,CAF,,,,,GOV,,,REB,REBEL GROUP,,,,,,REB,,,0,057,057,05,1,8.0,8,1,8,-4.08472012102874,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,1,Russia,RS,RS,,60,100,RS,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260613003000,https://www.internazionale.it/ultime-notizie-reuters/2026/06/13/us-deports-iranian-pro-democracy-activist-to-central-african-republic-lawyer-says
1308802496,20250613,202506,2025,2025.4466,CAN,CANADA,CAN,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,1,010,010,01,1,0.0,5,1,5,0.719424460431654,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20260613003000,https://www.therecord.com/news/waterloo-region/mail-delivery-changes-for-to-more-kitchener-neighbourhoods/article_476471fb-2a8b-5989-8783-3be09ab92a9a.html
1308802497,20250613,202506,2025,2025.4466,IRNGOV,IRAN,IRN,,,,,GOV,,,REB,REBEL GROUP,,,,,,REB,,,0,057,057,05,1,8.0,2,1,2,-4.08472012102874,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260613003000,https://www.internazionale.it/ultime-notizie-reuters/2026/06/13/us-deports-iranian-pro-democracy-activist-to-central-african-republic-lawyer-says
1308802498,20250613,202506,2025,2025.4466,NGOUSAHLH,GUTTMACHER INSTITUTE,USA,,,,,NGO,HLH,,,,,,,,,,,,1,051,051,05,1,3.4,7,1,7,-3.83141762452107,2,"Arkansas, United States",US,USAR,,34.9513,-92.3809,AR,0,,,,,,,,2,"Arkansas, United States",US,USAR,,34.9513,-92.3809,AR,20260613003000,https://arktimes.com/arkansas-blog/2026/06/12/family-council-takes-aim-at-abortion-pills-by-mail
1308802499,20250613,202506,2025,2025.4466,REB,REBEL GROUP,,,,,,REB,,,CAFGOV,FAUSTIN ARCHANGE TOUADERA,CAF,,,,,GOV,,,0,057,057,05,1,8.0,8,1,8,-4.08472012102874,1,Russia,RS,RS,,60,100,RS,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260613003000,https://www.internazionale.it/ultime-notizie-reuters/2026/06/13/us-deports-iranian-pro-democracy-activist-to-central-african-republic-lawyer-says
1308802500,20250613,202506,2025,2025.4466,REB,REBEL GROUP,,,,,,REB,,,IRNGOV,IRAN,IRN,,,,,GOV,,,0,057,057,05,1,8.0,2,1,2,-4.08472012102874,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260613003000,https://www.internazionale.it/ultime-notizie-reuters/2026/06/13/us-deports-iranian-pro-democracy-activist-to-central-african-republic-lawyer-says
1308802501,20260514,202605,2026,2026.3671,,,,,,,,,,,CHRPRO300,PRESBYTERIAN,,,,CHR,PRO,,,,0,042,042,04,1,1.9,10,1,10,1.48760330578512,0,,,,,,,,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,20260613003000,https://www.therecord.com/news/world/as-polyamory-gains-visibility-monogamy-faces-a-vote-in-the-presbyterian-church-usa/article_2f1e2f3d-e5a1-5589-9390-20d6ef1c84a0.html
1308802502,20260514,202605,2026,2026.3671,CAN,YUKON,CAN,,,,,,,,,,,,,,,,,,0,010,010,01,1,0.0,10,1,10,-2.63578274760383,3,"Phoenix, Arizona, United States",US,USAZ,AZ013,33.4484,-112.074,44784,0,,,,,,,,3,"Phoenix, Arizona, United States",US,USAZ,AZ013,33.4484,-112.074,44784,20260613003000,https://www.cbc.ca/news/canada/north/after-months-of-customer-complaints-yukon-utilities-admit-billing-system-problems-dating-back-to-2023-9.7233630
1308802503,20260514,202605,2026,2026.3671,CHN,CHINA,CHN,,,,,,,,IGOWSTNAT,NATO,WST,NAT,,,,IGO,,,0,130,130,13,3,-4.4,2,1,2,-2.09523809523809,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260613003000,http://www.rockymounttelegram.com/news/national/the-latest-pakistan-says-us-and-iran-agree-on-final-text-of-a-peace-deal/article_d487928a-d119-5519-b03b-70c29f8270d2.html
